,northRadiation,eastRadiation,southRadiation,westRadiation
January,16.40578901027856,23.991704696038656,50.92153245296234,23.82914113803632
February,21.668901067169017,36.773021122154695,77.34308915522699,36.83274948756176
March,37.347071548952606,62.34877007036825,104.26331856240608,62.6085005077463
April,46.57104358110371,83.86268181350874,113.79306213885866,83.99813809264147
May,61.271618883276105,103.55931010761606,111.5925896911551,103.34034494790758
June,69.8377636763134,115.26657107216128,111.67784681776084,115.46286111691408
July,63.58841241527198,111.32179887023948,113.7171904465714,111.44041604820212
August,54.66098327776641,96.35747998887278,118.3238945482164,96.7661962738895
September,45.56325151917663,77.08259506182596,117.97778311114197,77.1286397181833
October,28.9133823477966,47.571505488920046,89.29099958220095,47.27481145927845
November,16.987961223459187,23.90875615116049,47.37748539324802,23.92594783225319
December,15.017674384583689,19.754934106950884,38.97097313439004,19.854020560223052
